text,category,priority
Basketball court net near Girls Hostel is torn.,Other,Low
Curtain rod fell down in Room 152.,Civil,Low
Mess staff behavior in Girls Hostel is very rude.,Mess,Medium
"Access point in Main Gate seems dead, no signal.",IT,Medium
Wifi speed is too slow to open basic websites in 170.,IT,Medium
"Found a set of keys in Common Room, submitted to office.",Other,Low
The latch on the bathroom door in 345 is broken.,Civil,High
Cleaning staff has not visited 345 for 3 days.,Sanitation,Medium
Found a worm in the cauliflower curry today in Block B mess.,Mess,Urgent
Window grill is rusted and loose in Room 302.,Civil,High
Milk served at breakfast in Boys Hostel was sour.,Mess,High
MCB trips frequently in Room 156.,Electrical,High
Tube light improperly flickering in Room 278.,Electrical,Medium
Cleaning staff has not visited 212 for 3 days.,Sanitation,Medium
Benches in Common Room are broken.,Civil,Medium
Inverter backup not working in New Wing during outage.,Electrical,High
Cleaning staff has not visited 388 for 3 days.,Sanitation,Medium
Vandalism: Someone smashed the mirror in Ground Floor Washroom.,Disciplinary,High
Ethernet cable socket damaged in Library.,IT,Medium
Drunk students creating nuisance in Block B.,Disciplinary,Urgent
Drinking water cooler in Girls Hostel is empty.,Sanitation,High
Wifi range does not reach the corner rooms like 342.,IT,Medium
Tube light improperly flickering in Room 488.,Electrical,Medium
Rice served for lunch in Block B mess was undercooked and hard.,Mess,High
No water supply in Girls Hostel since this morning.,Sanitation,Urgent
Huge crack appeared on the wall of Room 288.,Civil,High
"Tap is leaking continuously in Room 428, wasting water.",Sanitation,Medium
Water dispenser in Boys Hostel mess is dirty.,Mess,High
Seniors harassing juniors in Old Block corridor.,Disciplinary,Urgent
LAN port in Room 445 is broken.,IT,Medium
Can we have a vending machine in New Wing?,Other,Low
Low water pressure in Common Washroom showers.,Sanitation,Medium
Theft: My laptop was stolen from Room 148.,Disciplinary,Urgent
Cleaning staff has not visited 335 for 3 days.,Sanitation,Medium
Sparking observed from the socket in Room 318.,Electrical,Urgent
Loud music playing in Room 290 late at night disturbing others.,Disciplinary,High
Water cooler in Boys Hostel gave me an electric shock.,Electrical,Urgent
Mess workers in Girls Hostel not wearing gloves or hairnets.,Mess,Medium
Street light near Block B entrance is broken.,Electrical,High
Charging point in 274 is dead.,Electrical,medium
Stale smell coming from the food served tonight in New Wing mess.,Mess,Urgent
Dustbins overflowing in Back Gate area.,Sanitation,Medium
Wifi signal is extremely weak in Room 484.,IT,Medium
Library search kiosk is frozen.,IT,Low
Long queues due to slow service at Old Block counters.,Mess,Low
Why is the stationary shop near Lab 1 closed during college hours?,Other,Low
Cannot connect to 'CampusWifi' in Boys Hostel.,IT,Medium
LAN port in Room 176 is broken.,IT,Medium
Charging point in 412 is dead.,Electrical,medium
Fungus growing on bathroom walls in Room 440.,Sanitation,High
Vegetable curry in Block B mess is smelling rotten.,Mess,Urgent
"Main door handle of Room 473 came off, unable to secure room.",Civil,High
Water cooler in Block A gave me an electric shock.,Electrical,Urgent
Frequent voltage fluctuation in 228 damaging laptop.,Electrical,High
Gambling activity seen in Room 230.,Disciplinary,High
Mess workers in Block B not wearing gloves or hairnets.,Mess,Medium
Biometric device at Girls Hostel gate not accepting fingerprint.,IT,High
Fan in Room 446 making loud noise and wobbling.,Electrical,High
Threatening behavior by a student in Room 103.,Disciplinary,Urgent
Wifi signal is extremely weak in Room 413.,IT,Medium
"Boundary wall near Block A has a hole, outsiders entering.",Civil,Urgent
Lunch served very late today in Girls Hostel.,Mess,Medium
Charging point in 330 is dead.,Electrical,medium
Found a stone in the dal in Boys Hostel mess.,Mess,High
Geyser in Ground Floor Washroom not heating water.,Electrical,Medium
Dinner was served cold again in Boys Hostel.,Mess,Medium
LAN port in Room 475 is broken.,IT,Medium
"Tap is leaking continuously in Room 151, wasting water.",Sanitation,Medium
Water coming from tap in 107 is muddy.,Sanitation,Urgent
Water seepage from the ceiling in Old Block corridor.,Civil,High
"Night latch broken in Room 347, feeling unsafe.",Civil,Urgent
"Tap is leaking continuously in Room 490, wasting water.",Sanitation,Medium
Door closer in Computer Centre is leaking oil.,Civil,Low
Suspicious person seen roaming in Girls Hostel at night.,Disciplinary,Urgent
Extension board in Computer Centre caught fire briefly.,Electrical,Urgent
Toilet seat broken in First Floor Toilet.,Sanitation,High
Unauthorized outsiders drinking alcohol near Old Block.,Disciplinary,Urgent
Too many mosquitoes in Lobby due to stagnant water.,Sanitation,High
Breakfast timing in Boys Hostel is too short.,Mess,Medium
Ceiling dampness and peeling paint in Room 152.,Civil,Medium
MCB trips frequently in Room 318.,Electrical,High
Gambling activity seen in Room 447.,Disciplinary,High
Loud music playing in Room 416 late at night disturbing others.,Disciplinary,High
Wifi range does not reach the corner rooms like 416.,IT,Medium
"Access point in Common Room seems dead, no signal.",IT,Medium
Dead pigeon in the Main Gate balcony causing smell.,Sanitation,High
"Lock jammed in Room 421, I was stuck inside for 10 mins.",Civil,Urgent
Loud music playing in Room 406 late at night disturbing others.,Disciplinary,High
Drawer lock in my study table (Room 183) is stuck.,Civil,Medium
Water cooler in Lobby is leaking.,Sanitation,Medium
Wallet stolen from my bag in Lab 1.,Disciplinary,Urgent
"Main door handle of Room 356 came off, unable to secure room.",Civil,High
Charging point in 211 is dead.,Electrical,medium
Basketball court net near Old Block is torn.,Other,Low
Ethernet cable socket damaged in Computer Centre.,IT,Medium
Washroom in Boys Hostel is extremely dirty and unhygienic.,Sanitation,High
Dustbins overflowing in Corridor area.,Sanitation,Medium
"Tap is leaking continuously in Room 365, wasting water.",Sanitation,Medium
Found a worm in the cauliflower curry today in New Wing mess.,Mess,Urgent
Wallet stolen from my bag in Lab 2.,Disciplinary,Urgent
Regulator for fan in Room 428 is not working.,Electrical,Medium
Cleaning staff has not visited 268 for 3 days.,Sanitation,Medium
Door lock key is stuck inside the keyhole in Room 496.,Civil,High
Water coming from tap in 357 is muddy.,Sanitation,Urgent
Gym equipment in the sports complex near Old Block is rusted.,Other,Medium
No water supply in Block A since this morning.,Sanitation,Urgent
Loud music playing in Room 460 late at night disturbing others.,Disciplinary,High
Wifi signal is extremely weak in Room 498.,IT,Medium
Fungus growing on bathroom walls in Room 301.,Sanitation,High
Dead pigeon in the Corridor balcony causing smell.,Sanitation,High
Tables in the New Wing mess hall are sticky and dirty.,Mess,Medium
No water supply in Block B since this morning.,Sanitation,Urgent
Verbal abuse and bullying by a group in Stairs.,Disciplinary,Urgent
Gambling activity seen in Room 499.,Disciplinary,High
No water in the Old Block mess wash basin.,Mess,High
Fly infestation near the food serving counter in Block A.,Mess,High
Ceiling fan in Room 359 is not working.,Electrical,High
Air conditioner in Lab 1 is dripping water.,Electrical,Medium
PC in Office not booting up.,IT,High
Wifi signal is extremely weak in Room 349.,IT,Medium
Internet disconnects every 5 minutes in Boys Hostel.,IT,Medium
Not enough nutritious options for vegetarian students in Old Block mess.,Mess,Low
Can we have a vending machine in Boys Hostel?,Other,Low
Cleaning staff has not visited 316 for 3 days.,Sanitation,Medium
No internet connectivity in Office for lecture.,IT,High
Threatening behavior by a student in Room 417.,Disciplinary,Urgent
Sparking observed from the socket in Room 106.,Electrical,Urgent
Wifi range does not reach the corner rooms like 266.,IT,Medium
Dirty smell in the Boys Hostel dining hall.,Mess,High
Water coming from tap in 172 is muddy.,Sanitation,Urgent
Mess workers in New Wing not wearing gloves or hairnets.,Mess,Medium
"Window pane missing in Room 300, mosquitoes entering.",Civil,Medium
Cockroach infestation in Block A washrooms.,Sanitation,High
Frequent voltage fluctuation in 257 damaging laptop.,Electrical,High
Study table in Room 155 has a large crack.,Civil,Medium
The mattress in Room 460 is torn and old.,Civil,Low
Tube light improperly flickering in Room 466.,Electrical,Medium
Fungus growing on bathroom walls in Room 310.,Sanitation,High
The mattress in Room 212 is torn and old.,Civil,Low
Fungus growing on bathroom walls in Room 151.,Sanitation,High
Ceiling fan in Room 136 is not working.,Electrical,High
Wifi speed is too slow to open basic websites in 360.,IT,Medium
Corridor floor in New Wing is uneven and tripping hazard.,Civil,Medium
Wifi speed is too slow to open basic websites in 187.,IT,Medium
"My room door (357) doesn't close fully, lock is misaligned.",Civil,High
Study table in Room 306 has a large crack.,Civil,Medium
Corridors in Block B are full of mud and trash.,Sanitation,Medium
Hot water geyser not giving water in Hostel Mesh.,Sanitation,High
Bread served in Boys Hostel mess was expired and had fungus.,Mess,Urgent
Ceiling fan in Room 208 is not working.,Electrical,High
"Chair backrest broken in 161, need replacement.",Civil,Medium
Mess contractor in Girls Hostel is using cheap oil.,Mess,High
Wifi speed is too slow to open basic websites in 163.,IT,Medium
Shower head broken in Ground Floor Washroom.,Sanitation,Medium
Tube light improperly flickering in Room 377.,Electrical,Medium
My bed leg is wobbling dangerously in Room 266.,Civil,High
"Tap is leaking continuously in Room 311, wasting water.",Sanitation,Medium
Study table in Room 239 has a large crack.,Civil,Medium
Female students catcalled near Old Block gate.,Disciplinary,Urgent
LAN port in Room 290 is broken.,IT,Medium
LAN port in Room 308 is broken.,IT,Medium
Extension board in Library caught fire briefly.,Electrical,Urgent
Seniors harassing juniors in Girls Hostel corridor.,Disciplinary,Urgent
Jet spray not working in Block B toilet.,Sanitation,Medium
"Window pane missing in Room 184, mosquitoes entering.",Civil,Medium
Low water pressure in First Floor Toilet showers.,Sanitation,Medium
Bread served in Old Block mess was expired and had fungus.,Mess,Urgent
Notice board in Common Room fell down.,Civil,Low
"Pipe burst in Restroom near Canteen, water flooding the floor.",Sanitation,Urgent
Wifi signal is extremely weak in Room 398.,IT,Medium
Drawer lock in my study table (Room 168) is stuck.,Civil,Medium
LAN port in Room 489 is broken.,IT,Medium
"Tap is leaking continuously in Room 277, wasting water.",Sanitation,Medium
Wifi range does not reach the corner rooms like 312.,IT,Medium
Suggestion to increase library hours during exams.,Other,Low
LAN port in Room 234 is broken.,IT,Medium
Seniors harassing juniors in New Wing corridor.,Disciplinary,Urgent
Tiles broken in the bathroom of Room 134.,Civil,Medium
Can we have a vending machine in Old Block?,Other,Low
Wifi speed is too slow to open basic websites in 131.,IT,Medium
Verbal abuse and bullying by a group in Corridor.,Disciplinary,Urgent
Benches in Corridor are broken.,Civil,Medium
Mirror fell off the wall in Common Washroom.,Civil,Medium
Unauthorized outsiders drinking alcohol near Block A.,Disciplinary,Urgent
Ragging incident reported near Boys Hostel block.,Disciplinary,Urgent
Mess workers in Boys Hostel not wearing gloves or hairnets.,Mess,Medium
Drinking water cooler in Block B is empty.,Sanitation,High
Printer in Office assumes offline status.,IT,Medium
Window grill is rusted and loose in Room 264.,Civil,High
Huge crack appeared on the wall of Room 269.,Civil,High
Tube light improperly flickering in Room 343.,Electrical,Medium
Cleaning staff has not visited 450 for 3 days.,Sanitation,Medium
Main gate of Block B was left open all night.,Disciplinary,Urgent
Fungus growing on bathroom walls in Room 307.,Sanitation,High
Sink is clogged and overflowing in First Floor Toilet.,Sanitation,High
Gambling activity seen in Room 455.,Disciplinary,High
Wifi signal is extremely weak in Room 109.,IT,Medium
Threatening behavior by a student in Room 166.,Disciplinary,Urgent
Wifi signal is extremely weak in Room 256.,IT,Medium
Vegetable curry in New Wing mess is smelling rotten.,Mess,Urgent
No electricity in Library lab section.,Electrical,High
Wifi range does not reach the corner rooms like 493.,IT,Medium
Gym equipment in the sports complex near New Wing is rusted.,Other,Medium
"Access point in Corridor seems dead, no signal.",IT,Medium
Hot water geyser not giving water in First Floor Toilet.,Sanitation,High
Seniors harassing juniors in Block B corridor.,Disciplinary,Urgent
Benches in Parking are broken.,Civil,Medium
Corridor lights invalid/off in Boys Hostel at night.,Electrical,Urgent
Gambling activity seen in Room 362.,Disciplinary,High
Bed plank broke while sleeping in Room 473.,Civil,High
Water dispenser in Block B mess is dirty.,Mess,High
Cockroach infestation in New Wing washrooms.,Sanitation,High
Fungus growing on bathroom walls in Room 226.,Sanitation,High
Long queues due to slow service at Block A counters.,Mess,Low
Street light near Girls Hostel entrance is broken.,Electrical,High
Roof leaking heavily in Lobby during rain.,Civil,High
Cats seen roaming inside the New Wing mess kitchen.,Mess,Urgent
Toilet seat broken in Ground Floor Washroom.,Sanitation,High
Cleaning staff has not visited 489 for 3 days.,Sanitation,Medium
Hot water geyser not giving water in Restroom near Canteen.,Sanitation,High
Water coming from tap in 126 is muddy.,Sanitation,Urgent
MCB trips frequently in Room 128.,Electrical,High
Corridors in Boys Hostel are full of mud and trash.,Sanitation,Medium
There are too many stray dogs near Boys Hostel chasing students.,Other,Medium
Drinking water cooler in Old Block is empty.,Sanitation,High
Floor tiles cracked and sharp in Corridor.,Civil,High
Lost property: Blue bag left in Lab 1.,Other,Low
"Chair backrest broken in 163, need replacement.",Civil,Medium
Food finished before mess timing ended in Block A.,Mess,Medium
There is a dead insect in the rice bowl in Block B.,Mess,Urgent
LAN port in Room 372 is broken.,IT,Medium
Basketball court net near Boys Hostel is torn.,Other,Low
Door lock key is stuck inside the keyhole in Room 242.,Civil,High
Drain blockage causing backflow in Common Washroom.,Sanitation,Urgent
Geyser in Common Washroom not heating water.,Electrical,Medium
"The lock on my door in Room 218 is completely broken, cannot lock it.",Civil,Urgent
Lost my ID card near Lab 2.,Other,Low
Fungus growing on bathroom walls in Room 219.,Sanitation,High
Window grill is rusted and loose in Room 340.,Civil,High
"Tap is leaking continuously in Room 279, wasting water.",Sanitation,Medium
"The lock on my door in Room 413 is completely broken, cannot lock it.",Civil,Urgent
LAN port in Room 203 is broken.,IT,Medium
Regulator for fan in Room 463 is not working.,Electrical,Medium
Someone busted the fire extinguisher in Common Room.,Disciplinary,High
Request for a new club for photography.,Other,Low
Cannot login to the student ERP portal from Girls Hostel.,IT,High
Drinking water cooler in Boys Hostel is empty.,Sanitation,High
Study table in Room 330 has a large crack.,Civil,Medium
Not enough nutritious options for vegetarian students in New Wing mess.,Mess,Low
Jet spray not working in Boys Hostel toilet.,Sanitation,Medium
Sparking observed from the socket in Room 354.,Electrical,Urgent
My bed leg is wobbling dangerously in Room 423.,Civil,High
Fungus growing on bathroom walls in Room 132.,Sanitation,High
Ceiling dampness and peeling paint in Room 229.,Civil,Medium
Shower head broken in First Floor Toilet.,Sanitation,Medium
The latch on the bathroom door in 452 is broken.,Civil,High
Street light near Boys Hostel entrance is broken.,Electrical,High
Threatening behavior by a student in Room 468.,Disciplinary,Urgent
Stale smell coming from the food served tonight in Block B mess.,Mess,Urgent
Dead pigeon in the Terrace balcony causing smell.,Sanitation,High
Rainwater entering Room 385 through the balcony door.,Civil,High
Air conditioner in Office is dripping water.,Electrical,Medium
"Tap is leaking continuously in Room 234, wasting water.",Sanitation,Medium
"Tap is leaking continuously in Room 263, wasting water.",Sanitation,Medium
Dirty smell in the Old Block dining hall.,Mess,High
Main gate of Boys Hostel was left open all night.,Disciplinary,Urgent
Female students catcalled near Girls Hostel gate.,Disciplinary,Urgent
Ceiling fan in Room 352 is not working.,Electrical,High
Hair found in the chapati at Block A mess.,Mess,High
Notice board in Stairs fell down.,Civil,Low
No water supply in Boys Hostel since this morning.,Sanitation,Urgent
Garbage piled up near Old Block entrance.,Sanitation,Medium
Fungus growing on bathroom walls in Room 169.,Sanitation,High
Internet disconnects every 5 minutes in Old Block.,IT,Medium
"Cannot close the window in Room 328, latch broken.",Civil,High
Female students catcalled near Boys Hostel gate.,Disciplinary,Urgent
Water cooler in New Wing gave me an electric shock.,Electrical,Urgent
Vandalism: Someone smashed the mirror in Common Washroom.,Disciplinary,High
Curtain rod fell down in Room 136.,Civil,Low
Notice board in Back Gate fell down.,Civil,Low
LAN port in Room 391 is broken.,IT,Medium
Someone busted the fire extinguisher in Terrace.,Disciplinary,High
Notice board in Terrace fell down.,Civil,Low
"Window pane missing in Room 206, mosquitoes entering.",Civil,Medium
Safety concern: Door latch in Room 228 not working properly.,Civil,Urgent
"Found a set of keys in Corridor, submitted to office.",Other,Low
Flush not working in Ground Floor Washroom toilet.,Sanitation,Urgent
Security guard was sleeping during night shift at New Wing.,Disciplinary,Urgent
Regulator for fan in Room 224 is not working.,Electrical,Medium
Theft: My laptop was stolen from Room 235.,Disciplinary,Urgent
The latch on the bathroom door in 172 is broken.,Civil,High
Lost my ID card near Office.,Other,Low
Charging point in 452 is dead.,Electrical,medium
Sparking observed from the socket in Room 296.,Electrical,Urgent
Need permission to organize a coding event in Library.,Other,Low
Wifi speed is too slow to open basic websites in 108.,IT,Medium
My bed leg is wobbling dangerously in Room 427.,Civil,High
Printer in Classroom 5 assumes offline status.,IT,Medium
"The lock on my door in Room 187 is completely broken, cannot lock it.",Civil,Urgent
"Tap is leaking continuously in Room 171, wasting water.",Sanitation,Medium
Garbage piled up near Block A entrance.,Sanitation,Medium
Air conditioner in Classroom 5 is dripping water.,Electrical,Medium
Biometric device at New Wing gate not accepting fingerprint.,IT,High
Dirty smell in the Block A dining hall.,Mess,High
Water coming from tap in 194 is muddy.,Sanitation,Urgent
There is a dead insect in the rice bowl in Girls Hostel.,Mess,Urgent
Drawer lock in my study table (Room 341) is stuck.,Civil,Medium
Mirror fell off the wall in First Floor Toilet.,Civil,Medium
Curtain rod fell down in Room 236.,Civil,Low
Corridor lights invalid/off in Old Block at night.,Electrical,Urgent
Mess staff behavior in New Wing is very rude.,Mess,Medium
Door closer in Office is leaking oil.,Civil,Low
Water coming from tap in 190 is muddy.,Sanitation,Urgent
Taps run dry every evening in Old Block.,Sanitation,High
Washroom in New Wing is extremely dirty and unhygienic.,Sanitation,High
Frequent voltage fluctuation in 258 damaging laptop.,Electrical,High
"Found a set of keys in Lobby, submitted to office.",Other,Low
Door lock key is stuck inside the keyhole in Room 360.,Civil,High
Inverter backup not working in Boys Hostel during outage.,Electrical,High
Tube light improperly flickering in Room 159.,Electrical,Medium
Cannot login to the student ERP portal from Block A.,IT,High
Bed plank broke while sleeping in Room 344.,Civil,High
There are too many stray dogs near Old Block chasing students.,Other,Medium
Dustbins overflowing in Parking area.,Sanitation,Medium
Window grill is rusted and loose in Room 391.,Civil,High
The mattress in Room 219 is torn and old.,Civil,Low
"Switch board hanging loose in Room 429, exposed wires.",Electrical,Urgent
"Night latch broken in Room 238, feeling unsafe.",Civil,Urgent
Inverter backup not working in Block B during outage.,Electrical,High
"Switch board hanging loose in Room 390, exposed wires.",Electrical,Urgent
PC in Lab 2 not booting up.,IT,High
Power cut in Block A for over 4 hours.,Electrical,High
No internet connectivity in Lab 2 for lecture.,IT,High
Cupboard door hinge broken in Room 378.,Civil,Medium
Suspicious person seen roaming in New Wing at night.,Disciplinary,Urgent
MCB trips frequently in Room 489.,Electrical,High
